ax;ay;az;d_row;d_pitch;d_yaw
2.70352;0.15799;9.74292;-0.70000;-55.08125;14.83125
2.71389;0.13786;9.71913;-0.52500;-53.41875;13.25625
2.76208;0.16897;9.74597;-0.96250;-50.40000;12.64375
2.73585;0.12871;9.72767;-1.96875;-47.46875;14.52500
2.74195;0.13603;9.76854;-0.26250;-45.58750;12.42500
2.80356;0.16287;9.73194;0.04375;-43.48750;13.03750
2.78282;0.13176;9.71669;-0.04375;-39.59375;14.08750
2.77306;0.10919;9.73011;0.26250;-37.05625;11.55000
2.81454;0.18239;9.74841;-1.18125;-34.34375;13.73750
2.78099;0.08601;9.74963;-1.22500;-32.06875;13.12500
2.83589;0.15677;9.71913;-2.14375;-29.18125;12.03125
2.84199;0.11346;9.70022;-1.13750;-27.73750;14.87500
2.82796;0.13969;9.71730;-0.87500;-24.63125;13.51875
2.86700;0.18666;9.73743;-1.00625;-22.35625;12.25000
2.83162;0.12749;9.72035;-1.79375;-19.16250;14.17500
2.84931;0.13176;9.68619;-1.31250;-16.27500;11.68125
2.91275;0.21411;9.68314;-1.13750;-13.95625;14.78750
2.87249;0.11468;9.65569;-2.36250;-9.93125;12.51250
2.90421;0.18056;9.67765;-1.22500;-7.61250;12.46875
2.90055;0.16104;9.68558;-1.53125;-4.85625;13.47500
2.88713;0.15250;9.67704;-1.70625;-2.58125;12.60000
2.90726;0.17141;9.64898;-1.79375;0.30625;12.60000
2.89811;0.14823;9.67887;-2.80000;3.06250;12.90625
2.90238;0.16653;9.68253;-1.53125;6.12500;12.25000
2.92129;0.13481;9.66484;-2.27500;8.13750;13.16875
2.90360;0.14091;9.69961;-2.36250;10.50000;12.77500
2.91824;0.17019;9.67948;-2.62500;13.51875;12.68750
2.90787;0.14213;9.68009;-2.88750;16.80000;12.16250
2.92251;0.17629;9.66850;-2.58125;18.81250;12.29375
2.90787;0.14091;9.65996;-2.58125;21.17500;13.86875
2.91397;0.17324;9.71547;-2.45000;23.23125;11.33125
2.91397;0.16470;9.68436;-2.58125;26.11875;12.42500
2.90665;0.12261;9.68924;-2.53750;28.00000;12.64375
2.88774;0.15433;9.69839;-2.45000;30.93125;12.20625
2.93288;0.15799;9.66301;-2.23125;33.16250;12.38125
2.90848;0.14457;9.67277;-2.58125;36.00625;11.94375
2.91641;0.15982;9.67033;-3.32500;38.63125;11.94375
2.90482;0.15555;9.69961;-3.10625;42.65625;11.94375
2.87981;0.14701;9.69229;-2.93125;46.59375;12.03125
2.91458;0.14213;9.72706;-3.45625;49.52500;12.46875
2.91214;0.17446;9.65142;-3.58750;51.58125;13.30000
2.85358;0.10675;9.70327;-3.63125;54.95000;11.72500
2.89018;0.19764;9.73011;-3.58750;57.09375;10.89375
2.85663;0.16165;9.70266;-3.80625;59.76250;12.42500
2.86761;0.14518;9.69534;-3.67500;62.25625;12.25000
2.85602;0.12322;9.68619;-4.11250;64.35625;12.07500
2.85114;0.18117;9.67948;-3.45625;67.15625;11.98750
2.83772;0.14762;9.73316;-3.85000;70.35000;12.20625
2.84687;0.15860;9.71181;-3.98125;73.32500;11.63750
2.83345;0.16470;9.72645;-3.63125;75.99375;12.55625
2.80234;0.11773;9.70998;-3.50000;78.22500;11.68125
2.81515;0.17446;9.71852;-3.85000;81.24375;11.02500
2.78831;0.14152;9.71425;-3.76250;83.34375;12.11875
2.78038;0.13481;9.73987;-4.33125;85.96875;11.63750
